harvested,deficiency ,recommended Crop,reason for recommended crop),fertilizers,pesticides,organic Matter
Rice (Paddy),Nitrogen (N) depletion,"Moong (मूंग), Urd (उड़द), Arhar (अरहर)","Legumes form Rhizobium nodules fixing atmospheric N and their residues decompose quickly, restoring soil N and improving soil structure. — लेग्यूम नोड्यूल्स द्वारा N फिक्स कर मिट्टी की उर्वरा शक्ति बढ़ाते हैं।",Urea 60 kg/ha + SSP 150 kg/ha (fast N and basal P),Carbendazim 50% WP / Mancozeb 75% WP (fungal prevention),Green manure (Sesbania - ढैंचा) 4–6 t/ha (improves organic C and N)
Wheat,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Maize,Nitrogen (N) and Phosphorus (P) depletion,"Cowpea (लोबिया), Green gram (मूंग), Lentil (मसूर)",Short-duration legumes fix N and their residues produce organic acids that mobilize P; reduces need for synthetic N. — लेग्यूम N जोड़ते हैं और अवशेष P उपलब्धता बढ़ाते हैं।,SSP 120 kg/ha + Urea 40 kg/ha (P maintenance and starter N),Imidacloprid 17.8 SL (seed treatment),Compost 3–4 t/ha (improves aggregation and nutrient retention)
Sorghum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Pearl millet (Bajra),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Finger millet (Ragi),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Barley,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Oats,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Small millet (Kodo),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Little millet (Kutki),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Barnyard millet (Sanwa),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Foxtail millet (Kangni),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bajra hybrid,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Green gram (Moong),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Black gram (Urd),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Chickpea (Gram),Phosphorus (P) deficiency,"Rice (Paddy) (धान), Maize (मक्का), Pearl millet (Bajra) (बाजरा)",Cereals following pulses add biomass and feed microbial processes that mobilize fixed P; residues conserve moisture. — अनाज अवशेष P को गतिशील बनाते हैं और नमी बचाते हैं।,DAP 125 kg/ha (basal N & P),Copper oxychloride (root rot control),Rice husk compost 3 t/ha (light carbon source improving aeration)
Pigeon pea (Arhar,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Lentil (Masoor),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cowpea (Lobia),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Moth bean (Matki),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Horse gram (Kulthi),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cluster bean (Guar),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Soybean,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Groundnut (Peanut),Calcium (Ca) and Boron (B) deficiency,"Sorghum (ज्वार), Bajra (बाजरा), Maize (मक्का)",Millets and cereals tolerate marginal Ca/B soils and their residues increase organic matter; targeted boron & lime correct soils. — मिलेट्स और लक्षित Boron अनुप्रयोग से कमी पूरी होती है।,DAP 100 kg/ha + Borax 10 kg/ha (P and B correction),Malathion 5% dust (pod borer control),Bio-slurry compost 3–4 t/ha (adds Ca and organic acids)
Sesame (Til),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Sunflower,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mustard,Nitrogen (N) and Sulfur (S) depletion,"Green gram (मूंग), Cowpea (लोबिया), Soybean (सोयाबीन)",Brassicas use large N/S; following them with legumes restores N biologically and residues contribute organic S. — ब्रासिका के बाद लेग्यूम N और S बहाल करते हैं।,Urea 60 kg/ha + SSP 120 kg/ha (N and S balance),Neem-based pesticide (eco-friendly),FYM 4–5 t/ha (improves N retention and soil life)
Linseed (Flax),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Castor,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Safflower,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cotton,Nitrogen (N) and Sulfur (S) deficiency,"Soybean (सोयाबीन), Black gram (उड़द), Green gram (मूंग)","Legumes rebuild N and, with gypsum or organic S sources, restore sulfur pools; cropping diversity boosts microbes. — लेग्यूम N लौटाती हैं और जिप्सम S बहाल करता है।",Urea 70 kg/ha + Gypsum 100 kg/ha (N and S correction),Triazophos 40 EC (bollworm control),Vermicompost 2 t/ha (improves nutrient uptake and soil biology)
Sugarcane,Potassium (K) depletion,"Gram (चना), Lentil (मसूर), Pea (मटर)",Deep-rooted pulses recycle K from subsoil and add biomass which slowly releases K improving long-term K balance. — गहरी जड़ें K पुनर्चक्रण कर संतुलन बहाल करती हैं।,MOP 60 kg/ha + DAP 80 kg/ha (K replenishment and basal P),Neem oil spray (botanical control),Press-mud compost 3–5 t/ha (rich in K and organic carbon)
Potato,Phosphorus (P) and Organic carbon loss,"Maize (मक्का), Pearl millet (Bajra) (बाजरा), Cowpea (लोबिया)",Cereal-legume rotations stabilize P cycling and add labile carbon; residues improve aggregation and microbial P mineralization. — रोटेशन P चक्र और कार्बन संतुलित करता है।,SSP 150 kg/ha + Urea 50 kg/ha (P restoration and starter N),Mancozeb + Metalaxyl (late blight and fungal control),Cow dung compost 5 t/ha (adds humus and microbial diversity)
Sweet potato,Phosphorus (P) and Organic carbon loss,"Maize (मक्का), Pearl millet (Bajra) (बाजरा), Cowpea (लोबिया)",Cereal-legume rotations stabilize P cycling and add labile carbon; residues improve aggregation and microbial P mineralization. — रोटेशन P चक्र और कार्बन संतुलित करता है।,SSP 150 kg/ha + Urea 50 kg/ha (P restoration and starter N),Mancozeb + Metalaxyl (late blight and fungal control),Cow dung compost 5 t/ha (adds humus and microbial diversity)
Tomato,Zinc (Zn) and Boron (B) deficiency,"Maize (मक्का), Cowpea (लोबिया), Okra (भिंडी)",Rotation out of Solanaceae reduces pathogen load; legumes add N while residues and foliar Zn/B correct micronutrients. — सोलानेसी चक्रीय अंतर रोग कम करता है और Zn/B बहाल करते हैं।,Zinc sulfate 25 kg/ha + DAP 100 kg/ha (Zn correction and base nutrition),Imidacloprid 17.8 SL (sucking pests) + Mancozeb for fungal issues,Vegetable waste compost 3–5 t/ha (recycles nutrients and organic acids)
Brinjal (Eggplant),Zinc (Zn) and Boron (B) deficiency,"Maize (मक्का), Cowpea (लोबिया), Okra (भिंडी)",Rotation out of Solanaceae reduces pathogen load; legumes add N while residues and foliar Zn/B correct micronutrients. — सोलानेसी चक्रीय अंतर रोग कम करता है और Zn/B बहाल करते हैं।,Zinc sulfate 25 kg/ha + DAP 100 kg/ha (Zn correction and base nutrition),Imidacloprid 17.8 SL (sucking pests) + Mancozeb for fungal issues,Vegetable waste compost 3–5 t/ha (recycles nutrients and organic acids)
Okra (Lady's finger),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Chilli,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Capsicum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cabbage,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cauliflower,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Broccoli,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Onion,Nitrogen (N) deficiency,"Green gram (मूंग), Lentil (मसूर), Cowpea (लोबिया)",Short-duration legumes between cycles fix N rapidly and supply mineralizable N for bulbs while reducing pest carryover. — छोटी लेग्यूम N देती हैं और कीट कम करती हैं।,Urea 40 kg/ha + SSP 100 kg/ha (top dressing N and basal P),Dithane M-45 (fungal leaf spot),Vermicompost 2–3 t/ha (fine texture improves bulb development)
Garlic,Nitrogen (N) deficiency,"Green gram (मूंग), Lentil (मसूर), Cowpea (लोबिया)",Short-duration legumes between cycles fix N rapidly and supply mineralizable N for bulbs while reducing pest carryover. — छोटी लेग्यूम N देती हैं और कीट कम करती हैं।,Urea 40 kg/ha + SSP 100 kg/ha (top dressing N and basal P),Dithane M-45 (fungal leaf spot),Vermicompost 2–3 t/ha (fine texture improves bulb development)
Carrot,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Beetroot,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Radish,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cucumber,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bitter gourd,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bottle gourd,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Ridge gourd,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Pumpkin,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Muskmelon,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
