harvested,deficiency ,recommended Crop,reason for recommended crop),fertilizers,pesticides,organic Matter
Jute,Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Floriculture rose,Organic carbon and N depletion,"Green manure (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल), Leaf litter compost (पत्तियों का कम्पोस्ट)",Floriculture benefits from organic matter to maintain flower quality and reduce soil compaction. — फ्लोरिकल्चर में जैविक पदार्थ से फूल गुणवत्ता व मिट्टी सुधरती है।,Low-dose NPK with FYM 3–5 t/ha,Integrated pest management (biocontrol + selective insecticides),Leaf compost 3–5 t/ha (improves flowering and soil health)
Marigold,Organic carbon and N depletion,"Green manure (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल), Leaf litter compost (पत्तियों का कम्पोस्ट)",Floriculture benefits from organic matter to maintain flower quality and reduce soil compaction. — फ्लोरिकल्चर में जैविक पदार्थ से फूल गुणवत्ता व मिट्टी सुधरती है।,Low-dose NPK with FYM 3–5 t/ha,Integrated pest management (biocontrol + selective insecticides),Leaf compost 3–5 t/ha (improves flowering and soil health)
Chrysanthemum,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Ornamental palms,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Fodder maize,Nitrogen (N) and Phosphorus (P) depletion,"Cowpea (लोबिया), Green gram (मूंग), Lentil (मसूर)",Short-duration legumes fix N and their residues produce organic acids that mobilize P; reduces need for synthetic N. — लेग्यूम N जोड़ते हैं और अवशेष P उपलब्धता बढ़ाते हैं।,SSP 120 kg/ha + Urea 40 kg/ha (P maintenance and starter N),Imidacloprid 17.8 SL (seed treatment),Compost 3–4 t/ha (improves aggregation and nutrient retention)
Napier grass,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Lucerne (Alfalfa),Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Sunn hemp,Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Sesbania (Dhaincha),Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Cowpea fodder,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Green manure mix,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Aonla (Indian gooseberry),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Kinnow (Citrus),"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Black gram (Urad) - minor,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Red gram (Toor) - minor,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Pulses mixed,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Oil palm,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Sorghum fodder,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Bajra fodder,Nitrogen and organic matter drawdown,"Legume mixes (लेग्यूम मिश्रण), Green manure (हरी खाद), Cereal rotate (अनाज रोटेशन)",Fodder crops recycle biomass and when rotated with legumes maintain soil N and organic matter. — चराई फसलें जैविक पदार्थ लौटाती हैं और N संतुलन बनाए रखती हैं।,Lower synthetic N + regular manure/topdress as needed,Minimal pesticide; focus on cultural control,Green manure and FYM 5–8 t/ha (improves biomass and soil C)
Horse gram (Kulthi) - again,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mesta (Hibiscus cannabinus),Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Pulses - field mix,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Walnut,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Almond,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cashew,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Peach,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Apricot,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Kashmir saffron,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Wild herbs mix,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Medicinal plants mix,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mesta (jute alternative),Calcium and organic carbon depletion,"Legume cover (लेग्यूम कवर्स), Fodder rotation (चार रोटेशन), Green manure (हरी खाद)",Fiber crops respond to organic matter and balanced nutrients that improve fiber strength; cover crops reduce soil erosion. — फाइबर फसलें जैविक पदार्थ व संतुलित पोषण से बेहतर होती हैं।,Balanced NPK + FYM as per soil test,Seed treatment fungicides,FYM 5–6 t/ha (improves fiber quality and C)
Sage,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Thyme,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Oregano,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Lavender,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Rosemary,Organic carbon and N depletion,"Green manure (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल), Leaf litter compost (पत्तियों का कम्पोस्ट)",Floriculture benefits from organic matter to maintain flower quality and reduce soil compaction. — फ्लोरिकल्चर में जैविक पदार्थ से फूल गुणवत्ता व मिट्टी सुधरती है।,Low-dose NPK with FYM 3–5 t/ha,Integrated pest management (biocontrol + selective insecticides),Leaf compost 3–5 t/ha (improves flowering and soil health)
Stevia (again),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Buckwheat,Zinc (Zn) and Iron (Fe) deficiency,"Maize (मक्का), Groundnut (मूंगफली), Soybean (सोयाबीन)","Rotation with legumes and broadleaf crops mobilizes micronutrients, breaks pest cycles and improves soil structure. — रोटेशन सूक्ष्मपोषक उपलब्धता और मिट्टी की संरचना सुधारता है।",DAP 100 kg/ha + Zinc sulfate 25 kg/ha (basal N-P and Zn correction),Chlorpyrifos 20 EC (soil pests),FYM 5 t/ha (boosts microbial activity and micronutrient availability)
Quinoa,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Amaranth grain,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Job's tears,"Organic carbon and micro-nutrient depletion (B, Zn)","Legume shade crops (लेग्यूम शेड क्रॉप्स), Cover crops (कवर्स), Compost crops (कम्पोस्ट फसलें)",Perennial crops require constant organic inputs; shade & cover legumes improve soil N and microbe activity. — वरिष्ठ फसलें निरंतर जैविक इनपुट चाहती हैं।,Low-dose N with organic amendments + micronutrients as needed,"Bio-control agents (Trichogramma, Beauveria) and cultural controls",Well-rotted farmyard manure and mulch 10 t/ha (maintains soil moisture & C)
Kalonji (Nigella),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Psyllium (Isabgol),General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Amla orchard,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mango orchard - Alphonso,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Mango orchard - Kesar,"Micronutrient (Zn, B, Fe) depletion","Legume cover crops (लेग्यूम कवर्स), Green manures (Sesbania) (ढैंचा), Lucerne/Alfalfa (अल्फाल्फा)","Tree crops benefit from cover crops and organic mulching that restore micronutrients, improve rooting and soil moisture. — वृक्ष फसलें कवर्स व मल्च से सूक्ष्म पोषक और जड़ क्षेत्र सुधार पाती हैं।",Balanced NPK as per stage + Zinc 25 kg/ha + Boron foliar if deficient,Pheromone traps for key pests + Neem oil,Compost 5 t/ha + Mulch (improves root zone organic matter)
Banana - Cavendish,Potassium (K) and micronutrient depletion,"Legume cover crops (लेग्यूम कवर्स), Green manures (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल)",Banana is a heavy K user; intercropping with legumes and adding organic matter restores K and micronutrients and improves moisture retention. — केला K का भारी उपयोग करता है; लेग्यूम व जैविक पदार्थ से बहाली होती है।,"MOP 100 kg/ha + Micronutrient mix (Zn, B) as per soil test",Bacillus-based biopesticides + Neem formulations,Compost 5–10 t/ha + Mulch (improves K retention and soil moisture)
Banana - Local,Potassium (K) and micronutrient depletion,"Legume cover crops (लेग्यूम कवर्स), Green manures (हरी खाद), Legume intercrops (लेग्यूम अंतरफसल)",Banana is a heavy K user; intercropping with legumes and adding organic matter restores K and micronutrients and improves moisture retention. — केला K का भारी उपयोग करता है; लेग्यूम व जैविक पदार्थ से बहाली होती है।,"MOP 100 kg/ha + Micronutrient mix (Zn, B) as per soil test",Bacillus-based biopesticides + Neem formulations,Compost 5–10 t/ha + Mulch (improves K retention and soil moisture)
Hybrid rice variety,Nitrogen (N) depletion,"Moong (मूंग), Urd (उड़द), Arhar (अरहर)","Legumes form Rhizobium nodules fixing atmospheric N and their residues decompose quickly, restoring soil N and improving soil structure. — लेग्यूम नोड्यूल्स द्वारा N फिक्स कर मिट्टी की उर्वरा शक्ति बढ़ाते हैं।",Urea 60 kg/ha + SSP 150 kg/ha (fast N and basal P),Carbendazim 50% WP / Mancozeb 75% WP (fungal prevention),Green manure (Sesbania - ढैंचा) 4–6 t/ha (improves organic C and N)
Basmati rice,Nitrogen (N) depletion,"Moong (मूंग), Urd (उड़द), Arhar (अरहर)","Legumes form Rhizobium nodules fixing atmospheric N and their residues decompose quickly, restoring soil N and improving soil structure. — लेग्यूम नोड्यूल्स द्वारा N फिक्स कर मिट्टी की उर्वरा शक्ति बढ़ाते हैं।",Urea 60 kg/ha + SSP 150 kg/ha (fast N and basal P),Carbendazim 50% WP / Mancozeb 75% WP (fungal prevention),Green manure (Sesbania - ढैंचा) 4–6 t/ha (improves organic C and N)
Aromatic rice,Nitrogen (N) depletion,"Moong (मूंग), Urd (उड़द), Arhar (अरहर)","Legumes form Rhizobium nodules fixing atmospheric N and their residues decompose quickly, restoring soil N and improving soil structure. — लेग्यूम नोड्यूल्स द्वारा N फिक्स कर मिट्टी की उर्वरा शक्ति बढ़ाते हैं।",Urea 60 kg/ha + SSP 150 kg/ha (fast N and basal P),Carbendazim 50% WP / Mancozeb 75% WP (fungal prevention),Green manure (Sesbania - ढैंचा) 4–6 t/ha (improves organic C and N)
